AUTHOR,BASE,DESTINATION_MODUL,DETAIL,FILE_NAME,FOLDER,FRIENDLY_URL,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_SPECIAL,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,OBJECTS_COUNT,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
1,'ERP',NULL,NULL,'add_account_open_row.cfm','query',NULL,'emptypopup_add_account_open_row',NULL,'Query Açılış Fişi Satır Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',27,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:29:00.127',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_account_to_account_act.cfm','query',NULL,'emptypopup_add_account_to_account_act',NULL,'Query Virman İşlemi Ekle',1,1,0,0,0,0,0,0,0,'account_left_menu','Account','account',13,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2013-03-25 14:08:14.117',89,'10.0.0.11','v 12','popup'
1,'ERP',NULL,NULL,'add_bill_cash2cash.cfm','query',NULL,'emptypopup_add_bill_cash2cash',NULL,'Query Mahsup Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',86,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:07:23.627',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_collecting.cfm','query',NULL,'emptypopup_add_bill_collecting',NULL,'Query Tahsil Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',54,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 11:42:09.523',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_opening.cfm','query',NULL,'emptypopup_add_bill_opening',NULL,'Query Açılış Fişi Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',0,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:52:40.847',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_opening_other.cfm','query',NULL,'emptypopup_add_bill_opening_other',NULL,'Query Açılış Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',5,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:43:56.167',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_payment.cfm','query',NULL,'emptypopup_add_bill_payment',NULL,'Query Tediye Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',26,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:29:31.85',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_cash_flow_def.cfm','query',NULL,'emptypopup_add_cash_flow_sheet_def',NULL,'Query Nakit Akım Tablosu Tanımları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',4,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:39:28.047',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_inflation.cfm','query',NULL,'emptypopup_add_inflation',NULL,'Query Enflasyon Tanımı Ekle',1,1,0,0,0,0,0,0,NULL,'defin_left_menu','Account','account',7,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:40:57.403',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_reescount.cfm','query',NULL,'emptypopup_add_reescount',NULL,'Reeskont Ekle Query',1,1,0,0,0,NULL,NULL,NULL,0,NULL,'Account','account',2,'2012-09-12 13:39:37.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-27 11:24:04.31',10,'192.168.18.109','v 12','emptypopup'
