_FAMILY,AUTHOR,BASE,CONTROLLER_FILE_PATH,DESTINATION_MODUL,DETAIL,DICTIONARY_ID,FILE_NAME,FILE_PATH,FOLDER,FRIENDLY_URL,FULL_FUSEACTION,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_MENU,IS_SPECIAL,IS_TEMP,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,MODULE_NO,OBJECTS_COUNT,POPUP_TYPE,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_income_table_def.cfm','account/query/add_income_table_def.cfm','query',NULL,'account.add_income_table_def','add_income_table_def',NULL,'Query İşletme Gelir Tablosu Tanımları',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,160,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:08:04.437',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_invent_account.cfm','account/query/add_invent_account.cfm','query',NULL,'account.add_invent_account','add_invent_account',NULL,'Query Sabit Kıymet Tanımları',1,1,0,NULL,0,1,1,0,0,0,NULL,'defin_left_menu','Account','account',22,13,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:47:14.937',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_sub_account.cfm','account/query/add_sub_account.cfm','query',NULL,'account.add_sub_account','add_sub_account',NULL,'Query Alt Hesap Kodu Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,2,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 14:47:12.71',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_account.cfm','account/query/del_account.cfm','query',NULL,'account.del_account','del_account',NULL,'Query Hesap Kodu Sil',1,0,1,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,60,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 11:43:28.767',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_card.cfm','account/query/del_card.cfm','query',NULL,'account.del_card','del_card',NULL,'Muhasebe Fişi Sil Query',1,0,1,NULL,0,1,0,0,0,0,1,'account_left_menu','Account','account',22,2003,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-03 09:24:07.017',7,'192.168.18.20','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'detail_fintab.cfm','account/display/detail_fintab.cfm','display',NULL,'account.detail_fintab','detail_fintab',NULL,'Kayıtlı Mali Tablolar Detayı',1,0,0,NULL,0,1,0,0,0,0,0,'fintab_left_menu','Account','account',22,522,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',9,'2014-04-22 15:30:10.083',31,'127.0.0.1','v 14.00','normal'
NULL,1,'Systems',NULL,NULL,NULL,NULL,'earchieve_integration_definitions.cfm','account/form/earchieve_integration_definitions.cfm','form',NULL,'account.earchieve_integration_definitions','earchieve_integration_definitions',NULL,'Entegrasyon Tanımları',1,0,0,NULL,0,NULL,1,NULL,0,NULL,0,'netbook_left_menu','Account','account',22,2168,NULL,'2015-06-22 12:40:37.0',4530,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',1,'2015-06-22 13:04:14.977',4530,'127.0.0.1','v 14.00','normal'
NULL,1,'Systems',NULL,NULL,NULL,NULL,'einvoice_control_report.cfm','account/form/einvoice_control_report.cfm','display',NULL,'account.einvoice_control_report','einvoice_control_report',NULL,'E-Fatura Kontrol Raporu',1,0,0,NULL,0,NULL,1,NULL,0,NULL,0,'netbook_left_menu','Account','account',22,1550,NULL,'2015-07-10 13:43:51.0',4530,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',1,'2015-07-10 13:53:03.823',4530,'127.0.0.1','v 14.00','normal'
NULL,1,'Systems',NULL,NULL,NULL,NULL,'einvoice_integration_definition.cfm','account/form/einvoice_integration_definition.cfm','form',NULL,'account.einvoice_integration_definitions','einvoice_integration_definitions',NULL,'Entegrasyon Tanımları(E-Fatura)',1,0,0,NULL,0,NULL,1,NULL,0,NULL,0,'netbook_left_menu','Account','account',22,3516,NULL,'2015-07-10 13:43:51.0',4530,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',1,'2015-07-10 13:53:03.823',4530,'127.0.0.1','v 14.00','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'account_card_import.cfm','account/query/account_card_import.cfm','query',NULL,'account.emptypopup_account_card_import','emptypopup_account_card_import',NULL,'Query  Muhasebe Fişi İmport',1,1,0,NULL,0,1,1,0,0,0,NULL,'account_left_menu','Account','account',22,363,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:17:28.467',15,'192.168.18.66','v 12','emptypopup'
